page,cantidad,arma,nota
op_badger1,x4,ADM-141 TALD,Lanzamiento sobre objetivo con 10º de desviacion entre ellos
op_badger1,x2,AIM-9X,
op_badger1,x2,AIM-120C,
op_badger1,x578,20mm M61 Vulcan,
op_badger2,x4,ADM-141 TALD,Lanzamiento sobre objetivo con 10º de desviacion entre ellos
op_badger2,x2,AIM-9X,
op_badger2,x2,AIM-120C,
op_badger2,x578,20mm M61 Vulcan,
op_badger3,x2,GBU-31,Objetivos marcados
op_badger3,x2,AIM-9X,
op_badger3,x1,AIM-120C,
op_badger3,x578,20mm M61 Vulcan,
op_badger4,x2,AGM-88,Objetivos de oportunidad en el area de operaciones
op_badger4,x2,AIM-9X,
op_badger4,x1,AIM-120C,
op_badger4,x578,20mm M61 Vulcan,
op_raccoon1,x2,AIM-9X,
op_raccoon1,x4,AIM-120C,
op_raccoon1,x578,20mm M61A1 Vulcan,
op_raccoon2,x2,AIM-9X,
op_raccoon2,x4,AIM-120C,
op_raccoon2,x578,20mm M61A1 Vulcan,
